Relay Height,Gain,Time Constant(T1),Time Constant(T2),Delay,Amplitude ,Time Period,Estimated T1,Estimated T2
1,1,2,1,2,0.5496,8.209,2.161431183,0.862879393
1,1,3,1,2,0.4484,8.877,3.009013749,0.954498753
1,1,4,1,2,0.3723,9.319,3.977311421,0.970160347
1,1,5,1,2,0.3148,9.605,5.016395902,0.954744326
1,1,6,1,2,0.2729,9.9,6.039167663,0.980569026
1,1,7,1,2,0.2421,10.059,7.015595221,0.972503981
1,1,8,1,2,0.2179,10.22,7.976180058,0.980278817
1,1,9,1,2,0.1984,10.406,8.927492861,1.007708841
1,1,10,1,2,0.182,10.462,9.870983434,0.990785715
1,1,11,1,2,0.1681,10.555,10.82126558,0.99387342
1,1,12,1,2,0.1562,10.63,11.76766763,0.994506108
1,1,13,1,2,0.1458,10.761,12.73913378,1.018878009
1,1,14,1,2,0.1443,10.822,12.9024154,1.037874054
1,1,15,1,2,0.1287,10.833,14.63213897,1.005749312
1,1,3,2,2,0.3793,10.438,3.434038405,1.771366535
1,1,4,2,2,0.3225,11.065,4.446844444,1.858006569
1,1,5,2,2,0.2808,11.453,5.503156516,1.852353824
1,1,6,2,2,0.2485,11.925,6.493928867,1.959477766
1,1,7,2,2,0.2226,12.218,7.546692469,1.980151105
1,1,8,2,2,0.2014,12.326,8.645470152,1.919163686
1,1,9,2,2,0.1839,12.632,9.681761221,1.991781787
1,1,10,2,2,0.1692,12.818,10.74200856,2.010507518
1,1,11,2,2,0.1567,12.802,11.82816403,1.935718071
1,1,12,2,2,0.1458,13.809,12.74204997,2.410773476
1,1,13,2,2,0.1364,13.191,13.94488266,2.025889761
1,1,14,2,2,0.128,13.291,15.02867256,2.031357688
1,1,15,2,2,0.1207,13.371,16.09357257,2.032529899
1,1,4,3,2,0.2901,12.236,4.642104672,2.67213541
1,1,5,3,2,0.2601,12.812,5.457926927,2.836494742
1,1,6,3,2,0.2358,13.323,6.283451602,2.984347169
1,1,7,3,2,0.2157,13.653,7.214242456,2.993734824
1,1,8,3,2,0.1988,13.774,8.233748133,2.871067603
1,1,9,3,2,0.1844,14.296,8.984457844,3.114179237
1,1,10,3,2,0.1719,14.46,9.936580192,3.081658026
1,1,11,3,2,0.1611,14.718,10.81195178,3.143164324
1,1,12,3,2,0.1515,14.624,11.84883071,2.966114378
1,1,13,3,2,0.143,14.779,12.75652728,2.981498306
1,1,14,3,2,0.1355,15.207,13.53890868,3.187286788
1,1,15,3,2,0.1287,15.372,14.4337948,3.221058651
1,1,5,4,2,0.2416,13.848,5.140660263,4.011243827
1,1,6,4,2,0.2227,14.305,6.008627016,4.010996669
1,1,7,4,2,0.2063,14.758,6.786689991,4.11842605
1,1,8,4,2,0.192,15.12,7.644033787,4.143876993
1,1,9,4,2,0.1794,15.426,8.526119407,4.149649711
1,1,10,4,2,0.1683,15.407,9.656506202,3.851414178
1,1,11,4,2,0.1583,15.606,10.56517701,3.838351566
1,1,12,4,2,0.1495,16.229,11.13407343,4.247439642
1,1,13,4,2,0.1416,15.972,12.33462449,3.850216578
1,1,14,4,2,0.1346,16.127,13.20521984,3.856428355
1,1,15,4,2,0.1282,16.267,14.08519768,3.860622508
1,1,6,5,4,0.3525,21.767,7.517477752,3.927677535
1,1,7,5,4,0.319,22.78,8.679267363,4.238704998
1,1,8,5,4,0.3,23.418,9.454742745,4.445453027
1,1,9,5,4,0.2831,23.51,10.56029357,4.193696321
1,1,10,5,4,0.2681,23.979,11.39675553,4.307770944
1,1,11,5,4,0.2546,24.29,12.30300744,4.317704642
1,1,12,5,4,0.2425,24.688,13.1455782,4.412147552
1,1,13,5,4,0.2315,25.015,14.01333442,4.467631219
1,1,14,5,4,0.2241,25.339,14.60331466,4.575719323
1,1,15,5,4,0.2116,26.347,15.49683644,5.084254532
1,1,7,6,4,0.304,23.81,8.826159804,4.984735777
