Relay Height,Gain,Delay,Time Constant,Actual A ,Noisy A,Time period,Estimated T,Estimated D,Estimated T(N),Estimated D(N)
1,1,2,1,0.854,0.864,5.248,0.923701179,1.926023199,0.904174306,1.934910434
1,1,2,1.5,0.7362,0.7298,5.656,1.270300224,1.968946934,1.286998196,1.963413175
1,1,2,2,0.6316,0.631,5.96,1.660461567,1.982308636,1.662555418,1.981793916
1,1,2,2.5,0.5482,0.546,6.194,2.06666013,1.987243318,2.076877495,1.985356956
1,1,2,3,0.4866,0.4788,6.379,2.455007712,1.992830894,2.50177759,1.986109647
1,1,2,3.5,0.4351,0.4414,6.53,2.858359195,1.994904695,2.812124538,2.000381726
1,1,2,4,0.3934,0.4039,6.655,3.260493846,1.996404536,3.166654675,2.005601659
1,1,2,4.5,0.3586,0.3687,6.76,3.66561608,1.997123086,3.55641833,2.006028543
1,1,2,5,0.3277,0.3446,6.85,4.093436919,1.996236416,3.878049693,2.011239464
1,1,2,5.5,0.3047,0.334,6.927,4.47324947,1.998116345,4.055775483,2.024324919
1,1,2,6,0.2834,0.3033,6.995,4.876527965,1.998589275,4.539276058,2.016470592
1,1,2,6.5,0.2648,0.286,7.055,5.281217455,1.998935421,4.871302578,2.01808472
1,1,2,7,0.2484,0.2704,7.108,5.687558988,1.999075483,5.205659518,2.019041499
1,1,2,7.5,0.234,0.2566,7.155,6.091004906,1.999177334,5.534848246,2.019776398
1,1,2,8,0.2211,0.2445,7.197,6.496362098,1.999117444,5.854235928,2.020529946
1,1,2,8.5,0.2096,0.2358,7.236,6.900772387,1.999396679,6.111286874,2.023466064
1,1,2,9,0.1991,0.2236,7.271,7.30976299,1.999399065,6.487482781,2.021980139
1,1,2,9.5,0.1898,0.2145,7.303,7.710481624,1.999607986,6.801084142,2.022446053
1,1,2,10,0.1811,0.2063,7.332,8.121233403,1.999488862,7.107265139,2.022857059
1,1,2,10.5,0.1733,0.1987,7.359,8.525420211,1.99960641,7.413498302,2.023225017
1,1,2,11,0.1656,0.1918,7.383,8.958265181,1.998957826,7.71180623,2.023379326
1,1,2,11.5,0.1595,0.1853,7.406,9.335646907,1.999491441,8.013381151,2.023598225
1,1,2,12,0.1534,0.1819,7.428,9.741537391,1.999723958,8.190633239,2.026419212
1,1,2,12.5,0.1478,0.1758,7.447,10.14184598,1.999589275,8.502348506,2.025867364
1,1,2,13,0.1425,0.1678,7.466,10.55096068,1.999712269,8.938146158,2.023501171
1,1,2,13.5,0.1373,0.1628,7.483,10.98048063,1.99937201,9.238425605,2.023391866
1,1,2,14,0.1331,0.1593,7.499,11.35521306,1.999687666,9.464935329,2.024410865
1,1,2,14.5,0.1288,0.1587,7.515,11.76347308,1.999893388,9.521559633,2.028162112
1,1,2,15,0.1248,0.1565,7.529,12.16696846,1.999835763,9.675497675,2.029853938
1,1,2,15.5,0.1201,0.1542,7.542,12.66948025,1.998837232,9.838970828,2.031174153
1,1,2,16,0.1175,0.1504,7.555,12.97464098,1.999816456,10.10860982,2.031060672
1,1,2,16.5,0.1141,0.1467,7.567,13.38576469,1.99976351,10.38359377,2.030762909
1,1,2,17,0.1108,0.1426,7.579,13.80948335,1.999796199,10.70304614,2.030073811
1,1,2,17.5,0.108,0.1384,7.589,14.18890067,1.999768791,11.04646964,2.028743655
1,1,2,18,0.1052,0.1345,7.6,14.59037064,1.999998017,11.38703244,2.027957789
1,1,2,18.5,0.1024,0.1304,7.609,15.00978518,1.999694391,11.76295145,2.026438433
1,1,2,19,0.09978,0.1309,7.619,15.42668894,1.999819331,11.73294281,2.02958036
1,1,2,19.5,0.09742,0.1339,7.628,15.82134928,1.999924595,11.48077404,2.034853908
1,1,2,20,0.0951,0.1366,7.636,16.22656259,1.999801255,11.26308452,2.039579811
1,2,2,1,1.729,1.68,5.247,0.903032736,1.934988302,0.951318205,1.913357957
1,2,2,1.5,1.472,1.428,5.656,1.270818732,1.968773641,1.329189373,1.949852095
1,2,2,2,1.263,1.228,5.96,1.660810311,1.982222838,1.723307024,1.967275254
1,2,2,2.5,1.101,1.065,6.194,2.056055757,1.989217266,2.141215471,1.973818606
1,2,2,3,0.9731,0.9375,6.379,2.455303145,1.99278775,2.564141884,1.97747607
1,2,2,3.5,0.8703,0.8499,6.53,2.857987336,1.994948122,2.935538907,1.986102532
1,2,2,4,0.7868,6.985,6.655,3.260493846,1.996404536,6.04E-17,3.3275
1,2,2,4.5,0.7172,0.7058,6.76,3.66561608,1.997123086,3.729879483,1.99210681
1,2,2,5,0.6554,0.6548,6.85,4.093436919,1.996236416,4.097453721,1.995970595
1,2,2,5.5,0.6094,0.6142,6.927,4.47324947,1.998116345,4.436158393,2.000257145
1,2,2,6,0.5668,0.5703,6.995,4.876527965,1.998589275,4.84503516,2.000159056
1,2,2,6.5,0.5297,0.5356,7.055,5.28017536,1.9989805,5.219364893,2.001640879
1,2,2,7,0.4967,0.5045,7.108,5.688749357,1.999030187,5.597289651,2.002564297
1,2,2,7.5,0.468,0.4768,7.155,6.091004906,1.999177334,5.974619221,2.003182096
1,2,2,8,0.4423,0.4534,7.197,6.49484766,1.999163119,6.330832891,2.004235093
1,2,2,8.5,0.4192,0.4315,7.236,6.900772387,1.999396679,6.698502852,2.005038618
1,2,2,9,0.3982,0.4115,7.271,7.30976299,1.999399065,7.067482798,2.00552095
1,2,2,9.5,0.3795,0.3934,7.303,7.712559537,1.999561827,7.433746266,2.005980658
1,2,2,10,0.3621,0.3769,7.332,8.12352252,1.999442566,7.797810304,2.006297218
1,2,2,10.5,0.3467,0.3618,7.359,8.522914772,1.999652835,8.160337473,2.006666093
1,2,2,11,0.3312,0.3479,7.383,8.958265181,1.998957826,8.520658995,2.006733276
1,2,2,11.5,0.3191,0.3349,7.406,9.332674641,1.999538096,8.885174716,2.006912584
1,2,2,12,0.3069,0.3253,7.428,9.73831646,1.999770723,9.179121021,2.008379522
1,2,2,12.5,0.2956,0.3146,7.447,10.14184598,1.999589275,9.520699247,2.00849677
1,2,2,13,0.285,0.301,7.466,10.55096068,1.999712269,9.982796078,2.007228196
1,2,2,13.5,0.2746,0.2915,7.483,10.98048063,1.99937201,10.33615374,2.007325225
1,2,2,14,0.2662,0.2827,7.499,11.35521306,1.999687666,10.68490575,2.007466331
1,2,2,14.5,0.2575,0.2779,7.515,11.76808863,1.999846177,10.89493886,2.009481214
1,2,2,15,0.2495,0.2734,7.529,12.17189229,1.999788479,11.09704129,2.011094712
1,2,2,15.5,0.2421,0.2689,7.542,12.56915409,1.999736888,11.30438117,2.012433867
1,2,2,16,0.235,0.2613,7.555,12.97464098,1.999816456,11.65688555,2.012294429
1,2,2,16.5,0.2282,0.254,7.567,13.38576469,1.99976351,12.01447377,2.012020409
1,2,2,17,0.2216,0.2457,7.579,13.80948335,1.999796199,12.4440491,2.011260469
1,2,2,17.5,0.2159,0.2372,7.589,14.19552026,1.999721189,12.91110831,2.009864294
1,2,2,18,0.2103,0.2294,7.6,14.5973562,1.999950354,13.37324294,2.009056876
1,2,2,18.5,0.2049,0.2235,7.609,15.00241206,1.999742102,13.74538158,2.008619043
1,2,2,19,0.1996,0.2184,7.619,15.42357832,1.999838438,14.08731158,2.008821087
1,2,2,19.5,0.1948,0.2135,7.628,15.82461714,1.999905469,14.43002102,2.008849501
1,2,2,20,0.1902,0.2161,7.636,16.22656259,1.999801255,14.27012056,2.012201606
1,3,2,1,2.593,2.506,5.247,0.903355758,1.934839423,0.960708296,1.909293854
1,3,2,1.5,2.209,2.126,5.656,1.26995467,1.969062477,1.343756097,1.945305795
1,3,2,2,1.895,1.826,5.96,1.660229123,1.982365837,1.742956622,1.96274568
1,3,2,2.5,1.652,1.584,6.194,2.055290373,1.98936038,2.163313049,1.96998636
1,3,2,3,1.46,1.397,6.379,2.454613888,1.992888419,2.583771594,1.974833144
1,3,2,3.5,1.305,1.258,6.53,2.859103151,1.994817843,2.979750334,1.981243078
1,3,2,4,1.18,1.144,6.655,3.261104788,1.996346225,3.374371123,1.985867038
1,3,2,4.5,1.076,1.044,6.76,3.664876034,1.997181796,3.786735074,1.987799964
1,3,2,5,0.9831,0.965,6.85,4.093436919,1.996236416,4.175608157,1.990893747
1,3,2,5.5,0.914,0.8975,6.927,4.473768613,1.998086619,4.56096336,1.993184498
1,3,2,6,0.8502,0.8372,6.995,4.876527965,1.998589275,4.956165524,1.994704367
1,3,2,6.5,0.7945,0.7852,7.055,5.280522682,1.998965474,5.345876556,1.996171273
1,3,2,7,0.7451,0.7385,7.108,5.688352515,1.999045286,5.741191057,1.997052651
1,3,2,7.5,0.702,0.697,7.155,6.091004906,1.999177334,6.13622105,1.997661069
1,3,2,8,0.6634,0.6623,7.197,6.495352398,1.999147894,6.506475613,1.99881295
1,3,2,8.5,0.6288,0.6294,7.236,6.900772387,1.999396679,6.89401064,1.999580083
1,3,2,9,0.5973,0.5994,7.271,7.30976299,1.999399065,7.283510173,2.000043229
