Relay Height,Gain,m,n,Time Delay,Amplitude,Time Period,Estimated m,Estimated n
1,8,9,3,4,9.385,17.502,8.890970497,2.995819317
1,3,7,4,2,1.383,11.287,7.163339335,4.451319963
1,8,6,4,2,3.448,10.737,6.282815352,4.648874739
1,6,10,3,5,7.421,19.65,9.498932098,3.218189539
1,5,10,1,8,16.84,22.868,10.30716626,1.113968928
1,8,7,2,7,13.29,20.281,5.924147916,2.04480931
1,8,2,10,4,2.642,14.265,1.380888202,8.593787151
1,1,8,4,3,0.6711,14.515,8.058561003,4.22154956
1,2,10,5,3,1.077,15.182,10.30159143,5.406291288
1,2,10,1,3,5.792,18.057,10.08503128,1.092133915
1,8,9,7,6,5.224,21.576,7.755363312,6.591586388
1,3,2,2,3,3.106,10.344,1.880922787,1.960917035
1,5,8,8,8,3.388,26.134,6.074644665,7.334833248
1,8,7,3,2,4.993,12.089,7.528156791,3.383992026
1,1,4,1,2,1.856,10.949,3.891888992,1.090034979
1,2,6,3,7,2.33,21.009,5.080240404,3.166394861
1,8,10,2,5,14.75,19.681,9.638993321,2.162392879
1,4,10,4,6,4.436,21.569,9.401432379,3.879597502
1,3,8,3,6,3.986,20.329,7.660737131,2.976591639
1,1,6,1,4,3.13,15.428,5.886444417,0.997145735
1,7,8,1,8,19.4,21.31,7.756477907,1.098934167
1,1,2,2,7,1.076,18.106,0.867816979,2.228976713
1,4,5,2,8,5.701,21.539,4.497049657,2.213624835
1,6,8,1,5,20.94,18.222,7.942245693,1.045633883
1,4,9,5,8,3.9,25.448,7.974665992,4.862390037
1,5,7,1,5,16.15,17.341,6.900849732,1.056527242
1,3,3,2,4,3.617,12.942,2.617665296,2.027112405
1,4,10,1,4,14.24,18.65,9.507929036,1.035262614
1,7,2,2,7,7.535,18.106,0.87077762,2.228089263
1,7,8,3,2,4.558,12.414,7.948590512,3.276284562
1,1,5,4,3,0.605,12.705,4.83782171,4.23933448
1,4,7,5,6,3.346,20.377,6.104512752,4.74506465
1,4,9,2,7,7.76,21.942,8.831941771,2.079768547
1,7,9,5,6,6.215,21.403,8.451116465,4.796508129
1,6,4,3,8,6.293,21.998,2.510805449,3.211490856
1,7,1,9,5,2.955,16.662,0.467286137,7.605533725
